Alder;3801 Horten;3802 Holmestrand;3803 Tønsberg;3804 Sandefjord;3805 Larvik;3806 Porsgrunn;3807 Skien;3808 Notodden;3811 Færder;3812 Siljan;3813 Bamble;3814 Kragerø;3815 Drangedal;3816 Nome;3817 Midt-Telemark;3818 Tinn;3819 Hjartdal;3820 Seljord;3821 Kviteseid;3822 Nissedal;3823 Fyresdal;3824 Tokke;3825 Vinje
Utflytting;;;;;;;;;;;;;;;;;;;;;;;
41 år;7;36;68;10;26;16;28;8;37;-4;4;-2;0;1;8;0;0;-2;1;-1;1;1;3
42 år;17;34;17;76;18;9;21;3;23;6;13;9;-4;1;2;-10;2;2;-1;1;2;1;2
43 år;32;25;51;27;50;21;34;0;-8;-3;-1;3;2;7;13;5;-5;-3;2;-1;0;5;7
44 år;10;18;8;50;6;14;9;-5;22;1;5;1;5;10;16;7;-3;-4;5;-3;-1;5;-4
45 år;11;-4;20;19;27;34;3;7;19;3;-8;-1;6;-2;8;-3;0;-3;-1;-3;0;-2;9
46 år;-7;31;24;27;-14;7;37;-6;12;-1;1;6;1;7;15;3;1;-4;0;3;-3;1;-2
47 år;-8;12;60;36;21;-9;14;-1;-2;-3;3;-1;6;-2;14;-7;0;3;3;3;-1;8;-5
48 år;5;7;14;48;11;2;25;3;21;-4;-2;8;4;-1;2;-5;-1;5;3;3;-6;7;2
49 år;22;38;29;5;22;23;11;-9;-11;3;-6;11;-5;-3;-8;0;2;3;1;1;1;2;3
50 år;14;15;31;22;26;7;-7;-7;-1;-3;0;2;-4;-7;16;3;1;1;5;0;-3;-2;0
51 år;8;-5;43;38;17;-36;31;-3;11;3;-2;1;-2;6;-13;-9;-2;-2;3;-4;1;1;1
52 år;-12;17;27;-10;17;6;17;0;-5;3;8;0;0;11;-3;-1;-1;0;5;-2;2;-2;9
53 år;-4;6;46;13;35;2;-2;-6;-18;-4;-5;1;1;8;6;-5;0;3;2;-3;5;-2;3
54 år;10;0;44;30;5;12;0;-2;7;2;0;10;5;7;9;-3;1;-2;-1;1;-4;1;1
55 år;19;27;33;17;-7;18;10;-3;-3;-4;-9;5;0;9;1;0;3;-2;5;-2;-2;-3;-3
56 år;-10;24;38;16;17;8;8;2;16;-1;0;5;-1;-1;-2;8;0;-3;1;-1;0;-5;-4
57 år;-4;20;32;38;17;12;-16;-1;-20;3;4;9;3;-4;-1;2;0;-3;4;-1;-2;3;0
58 år;5;35;21;31;28;7;-5;-5;15;0;-6;0;0;-3;12;1;0;-1;2;-2;0;-2;2
59 år;-8;17;36;15;22;6;-3;2;23;2;-8;5;2;0;2;3;-3;-2;-1;3;-1;1;2
60 år;13;20;34;15;19;0;4;4;6;3;-10;0;3;-5;7;-4;2;2;0;3;0;-1;3
61 år;8;22;15;18;5;5;14;6;27;-1;3;-1;1;7;-6;-1;-1;3;1;-2;1;-1;1
62 år;8;21;8;19;21;-6;-7;3;16;2;0;-9;4;-3;-2;1;3;0;1;3;3;1;1
63 år;20;33;7;20;15;9;-2;-5;14;1;-2;2;2;2;8;-2;0;1;-5;6;0;4;5
64 år;15;10;39;29;28;4;-3;-4;22;-1;-2;-2;-2;2;3;0;2;0;-1;1;1;-1;0
65 år;5;4;13;27;36;-5;3;5;20;0;3;2;-2;-2;2;6;0;3;0;-3;-1;-1;0
66 år;6;35;38;23;9;13;-4;2;5;-6;-7;1;-2;3;4;1;-1;1;1;3;1;1;1
67 år;26;10;28;1;23;-3;1;6;19;2;-5;-3;-2;-2;5;6;-2;-3;-2;-1;-2;0;1
68 år;-13;17;25;27;14;5;14;1;3;-3;-4;3;5;-7;1;1;4;0;-4;2;1;2;-2
69 år;13;14;23;24;18;-2;-2;4;14;1;2;-1;4;-4;3;-2;-5;1;-1;5;-1;-2;0
70 år;5;-1;0;16;18;-1;-15;5;27;1;-1;-1;-2;-1;5;2;1;1;0;2;3;-1;1
